Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-03-31,,,,,,,,,,,,,,,,,,8355,5.39,,,False
2013-04-01,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-02,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-03,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-04,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-05,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-06,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-07,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-08,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-09,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-10,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-11,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-12,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-13,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-14,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-15,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-16,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-17,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-18,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-19,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-20,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-21,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-22,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-23,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-24,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-25,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-26,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-27,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-28,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-29,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-04-30,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-01,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-02,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-03,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-04,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-05,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-06,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-07,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-08,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-09,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-10,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-11,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-12,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-13,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-14,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-15,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-16,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-17,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-18,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-19,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-20,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-21,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-22,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-23,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-24,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-25,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-26,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-27,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-28,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
2013-05-29,,,,,,,,,,,,,,,,,,8355,5.39,5.39,0.0,False
