,Unnamed: 0,C_score,Symbol,Close_grow,Revenue_grow,Sales__General_and_administrative_grow,Research_and_development_grow
0,27,0.0,01551,-0.000881964912079,,,
1,179,0.22440087146,08079,1.08913536016,0.592675499258,,
2,218,0.233506944444,00698,0.364530724458,0.20565088987,0.209092584603,
3,90,0.258,00508,0.140204821446,-0.0473754590605,,
4,231,0.28125,01085,0.202627516007,0.0700283515012,0.110614944342,0.286025988333
5,286,0.306818181818,00223,0.128934438048,-0.13925566653,,
6,195,0.3125,08295,0.36429004053,,,
7,117,0.318783068783,00812,-0.0598805057764,,,
8,71,0.322845417237,00273,-0.363187128723,,,
9,320,0.326,01094,-0.341767511065,-0.352998108968,-0.0195557683743,
10,120,0.328125,00901,0.286603674817,-1.0,,
11,351,0.336956521739,08086,-0.177319714063,-0.281522837406,-0.215343974867,
12,100,0.337673611111,00628,0.796957293533,-0.0549767478706,,
13,308,0.340277777778,00802,-0.0556601996946,-0.53509872339,-0.410841147389,
14,210,0.357226792009,00303,0.0335470115256,0.0256093593859,0.0615055764833,0.0700118087783
15,223,0.362517099863,00877,0.266119899887,0.193876852425,0.148990876765,0.23719419204
16,205,0.363636363636,00143,0.418021921136,0.00442165284863,0.0178129040573,
17,317,0.363703703704,01059,0.389972412686,0.0893079241147,-0.02572547171,-0.354564362722
18,105,0.37037037037,00718,1.15702728667,3.85468731626,0.523721183097,
19,47,0.370738636364,00033,-0.0193871639185,-0.163676856846,,
20,316,0.371057513915,01039,0.201997466316,-0.0588002710396,0.0232451907382,
21,356,0.376,08129,-0.33178538732,0.13418411642,0.0668692940851,-0.219005963543
22,54,0.376623376623,00109,0.00874881435492,0.562259715696,,
23,148,0.377192982456,01577,-0.0152296933838,0.186251883099,,
24,164,0.379310344828,03963,-0.184588671594,-0.0461541548382,,
25,101,0.383394383394,00665,0.0794055567271,,,
26,139,0.385109114249,01319,-0.214099382335,0.236556108554,,
27,342,0.39880952381,08029,0.161594170345,-0.164449284198,0.109249233998,
28,258,0.401234567901,03777,-0.0948384510091,0.0584405127902,0.19155079826,
29,146,0.401785714286,01543,-0.0099517964442,-0.00509255626331,,
30,157,0.403080872914,03360,0.0795904332361,0.189821799105,,
31,67,0.404513888889,00231,-0.0547278792311,0.148712650934,0.190455101924,
32,189,0.405380333952,08207,0.0653653621428,0.276325011748,,
33,13,0.408564814815,02628,0.0332991031783,,,
34,12,0.412455934195,02601,0.0624932360579,,,
35,303,0.416005291005,00696,0.357835752438,0.100797748428,0.0207812314112,
36,113,0.418181818182,00770,-0.0811308273628,,,
